Water Temp [C],Time (days)
24.7,0
24.4,0.041666667
24.1,0.083333333
24,0.125
23.8,0.166666667
23.7,0.208333333
23.7,0.25
23.6,0.291666667
23.6,0.333333333
23.5,0.375
23.5,0.416666667
23.5,0.458333333
23.5,0.5
23.6,0.541666667
23.6,0.583333333
23.7,0.625
23.7,0.666666667
23.8,0.708333333
23.8,0.75
23.8,0.791666667
23.9,0.833333333
23.9,0.875
24,0.916666667
24,0.958333333
24,1
24,1.041666667
24.1,1.083333333
24.1,1.125
24.1,1.166666667
24.1,1.208333333
24.1,1.25
24.1,1.291666667
24.1,1.333333333
24.2,1.375
24.2,1.416666667
24.3,1.458333333
24.3,1.5
24.4,1.541666667
24.4,1.583333333
24.5,1.625
24.5,1.666666667
24.6,1.708333333
24.6,1.75
24.6,1.791666667
24.6,1.833333333
24.7,1.875
24.7,1.916666667
24.7,1.958333333
24.7,2
24.7,2.041666667
24.6,2.083333333
24.6,2.125
24.6,2.166666667
24.6,2.208333333
24.5,2.25
24.5,2.291666667
24.5,2.333333333
24.5,2.375
24.5,2.416666667
24.5,2.458333333
24.6,2.5
24.8,2.541666667
24.9,2.583333333
25,2.625
25.1,2.666666667
25.1,2.708333333
25.1,2.75
25.2,2.791666667
25.2,2.833333333
25.2,2.875
25.2,2.916666667
25.2,2.958333333
25.2,3
25.2,3.041666667
25.1,3.083333333
25.1,3.125
25.1,3.166666667
25,3.208333333
24.8,3.25
24.7,3.291666667
24.6,3.333333333
24.5,3.375
24.5,3.416666667
24.5,3.458333333
24.6,3.5
24.6,3.541666667
24.7,3.583333333
24.8,3.625
24.9,3.666666667
25,3.708333333
25,3.75
25,3.791666667
25.1,3.833333333
25.1,3.875
25.1,3.916666667
25.2,3.958333333
25.2,4
25.2,4.041666667
25.1,4.083333333
25.1,4.125
25,4.166666667
24.9,4.208333333
24.9,4.25
24.8,4.291666667
24.7,4.333333333
24.7,4.375
24.6,4.416666667
24.7,4.458333333
24.8,4.5
24.8,4.541666667
24.8,4.583333333
24.8,4.625
24.9,4.666666667
24.9,4.708333333
24.9,4.75
24.9,4.791666667
24.9,4.833333333
24.9,4.875
24.8,4.916666667
24.8,4.958333333
24.7,5
